26,92,93,118500000,118500
31,94,94,110500000,110500
27,91,92,102000000,102000
27,91,91,93000000,93000
24,89,94,89000000,89000
24,89,91,83500000,83500
19,88,95,81000000,81000
31,91,91,80000000,80000
27,89,90,78000000,78000
33,94,94,77000000,77000
29,90,90,77000000,77000
28,90,90,76500000,76500
26,88,91,73500000,73500
26,88,91,73500000,73500
27,91,93,72000000,72000
26,88,89,69500000,69500
26,88,89,69500000,69500
26,88,89,69500000,69500
25,90,93,68000000,68000
32,91,91,67000000,67000
30,89,89,64500000,64500
25,87,90,64500000,64500
25,87,91,64000000,64000
27,89,90,63000000,63000
25,87,89,62500000,62500
27,88,88,62000000,62000
22,86,92,61000000,61000
32,90,90,60000000,60000
31,89,89,60000000,60000
28,88,88,60000000,60000
26,88,90,59500000,59500
23,86,91,59500000,59500
29,88,88,59000000,59000
26,89,92,58000000,58000
30,88,88,57000000,57000
24,87,92,57000000,57000
23,86,89,56500000,56500
25,86,89,55000000,55000
22,85,92,54000000,54000
26,89,90,53500000,53500
26,86,87,53000000,53000
28,87,87,52000000,52000
26,86,87,52000000,52000
29,89,89,51500000,51500
32,91,91,51000000,51000
27,87,90,51000000,51000
23,85,90,50500000,50500
23,85,90,50500000,50500
25,86,91,50000000,50000
24,85,89,50000000,50000
30,87,87,46500000,46500
30,87,87,46500000,46500
27,86,86,46500000,46500
23,85,92,46500000,46500
29,88,88,46000000,46000
27,86,86,45500000,45500
31,87,87,45000000,45000
28,86,86,45000000,45000
26,85,86,45000000,45000
27,85,86,45000000,45000
26,86,88,44500000,44500
32,90,90,44000000,44000
28,86,86,44000000,44000
29,86,86,43500000,43500
29,86,86,43500000,43500
30,88,88,43000000,43000
22,84,90,42500000,42500
22,84,90,42500000,42500
24,84,89,42000000,42000
24,86,90,41500000,41500
21,83,92,41000000,41000
23,85,88,40500000,40500
27,85,85,40500000,40500
23,84,88,40500000,40500
21,83,92,40000000,40000
29,86,87,39000000,39000
28,85,85,39000000,39000
25,84,87,39000000,39000
29,85,85,38500000,38500
32,89,89,38000000,38000
29,87,87,38000000,38000
26,85,87,38000000,38000
26,84,87,38000000,38000
27,85,87,37500000,37500
29,85,85,37500000,37500
29,85,85,37500000,37500
29,85,85,37000000,37000
29,85,85,37000000,37000
30,85,85,37000000,37000
25,84,85,37000000,37000
27,86,86,36500000,36500
25,85,90,36500000,36500
22,84,90,36500000,36500
24,83,90,36500000,36500
31,88,88,36000000,36000
30,85,85,35500000,35500
24,84,89,35500000,35500
22,83,89,35500000,35500
28,86,86,35000000,35000
24,83,89,35000000,35000
22,83,87,34500000,34500
22,83,88,34500000,34500
31,87,87,34000000,34000
31,87,87,34000000,34000
22,84,88,34000000,34000
23,84,88,34000000,34000
24,84,88,34000000,34000
24,84,88,34000000,34000
23,83,88,34000000,34000
23,83,88,34000000,34000
22,83,87,34000000,34000
23,83,88,34000000,34000
31,85,85,33000000,33000
23,83,87,33000000,33000
24,83,86,33000000,33000
24,83,86,33000000,33000
25,83,86,32500000,32500
24,83,86,32500000,32500
21,82,90,32500000,32500
28,85,87,32000000,32000
25,84,87,32000000,32000
27,84,84,32000000,32000
26,83,85,32000000,32000
26,84,86,31500000,31500
26,84,87,31500000,31500
26,84,86,31500000,31500
25,83,85,31500000,31500
21,82,89,31500000,31500
28,84,84,31000000,31000
25,83,84,31000000,31000
31,87,87,30500000,30500
32,85,85,30500000,30500
29,84,84,30500000,30500
22,83,89,30500000,30500
26,83,84,30500000,30500
27,83,84,30500000,30500
26,83,84,30500000,30500
22,82,88,30500000,30500
33,88,88,30000000,30000
31,86,86,30000000,30000
31,86,86,30000000,30000
29,85,85,30000000,30000
30,84,84,30000000,30000
30,84,84,30000000,30000
26,83,84,30000000,30000
24,82,87,30000000,30000
25,84,89,29500000,29500
30,84,84,29500000,29500
30,84,84,29500000,29500
22,83,88,29500000,29500
23,82,87,29500000,29500
24,82,87,29500000,29500
25,82,87,29500000,29500
30,84,84,29000000,29000
22,82,87,29000000,29000
19,82,93,29000000,29000
21,82,86,29000000,29000
23,82,86,29000000,29000
30,85,85,28500000,28500
26,83,83,28500000,28500
23,83,91,28500000,28500
24,83,87,28500000,28500
25,82,85,28500000,28500
25,82,85,28500000,28500
25,82,85,28500000,28500
26,83,83,28000000,28000
31,84,84,27500000,27500
31,84,84,27500000,27500
27,83,83,27500000,27500
25,82,85,27500000,27500
33,89,89,27000000,27000
26,84,87,27000000,27000
27,83,83,27000000,27000
26,83,86,27000000,27000
18,82,91,27000000,27000
26,82,85,27000000,27000
20,81,89,27000000,27000
27,83,83,26500000,26500
26,83,86,26500000,26500
27,83,83,26500000,26500
23,82,89,26500000,26500
25,82,84,26500000,26500
25,82,83,26500000,26500
26,82,83,26500000,26500
20,81,89,26500000,26500
31,85,85,26000000,26000
31,85,85,26000000,26000
27,83,86,26000000,26000
29,83,83,26000000,26000
28,83,83,26000000,26000
23,82,88,26000000,26000
27,82,83,26000000,26000
26,82,83,26000000,26000
27,82,83,26000000,26000
26,82,83,26000000,26000
21,81,89,26000000,26000
22,81,89,26000000,26000
28,83,83,25500000,25500
29,83,83,25500000,25500
22,82,88,25500000,25500
24,82,88,25500000,25500
25,82,88,25500000,25500
24,81,88,25500000,25500
27,84,86,25000000,25000
32,84,84,25000000,25000
32,84,84,25000000,25000
24,83,88,25000000,25000
22,82,87,25000000,25000
27,82,83,25000000,25000
21,81,88,25000000,25000
28,84,84,24500000,24500
28,83,85,24500000,24500
30,83,83,24500000,24500
24,82,87,24500000,24500
23,82,86,24500000,24500
24,81,87,24500000,24500
23,81,87,24500000,24500
24,81,88,24500000,24500
33,88,88,24000000,24000
29,84,84,24000000,24000
29,84,85,24000000,24000
29,84,84,24000000,24000
25,83,87,24000000,24000
27,83,84,24000000,24000
30,83,83,24000000,24000
22,81,86,24000000,24000
22,81,86,24000000,24000
24,81,86,24000000,24000
25,82,85,23500000,23500
27,82,82,23500000,23500
24,81,85,23500000,23500
20,80,90,23500000,23500
30,84,84,23000000,23000
27,82,82,23000000,23000
25,81,85,23000000,23000
26,83,83,22500000,22500
28,82,82,22500000,22500
25,82,84,22500000,22500
28,82,82,22500000,22500
26,82,84,22500000,22500
28,82,82,22500000,22500
